uvrstitev,ID_tekmovalca,ime,razred,letnica_rojstva,drzava,teza,pocep,potisk_s_prsi,mrtvi_dvig,skupaj,tocke
1,1015903,Lacoe Bodie,T,2003,USA,52.30,142,77,201,421,410.64
2,1015904,Diers George,T,2000,USA,52.96,145,72,157,375,361.05
3,1015905,Shakerkhan Dias,T,2003,Kazakhstan,52.92,117,75,135,327,315.57
0,1015906,Yamada Masaya,T,2001,Japan,52.90,150,110,200,0,0
1,1015907,Tsuchiya Junto,T,2000,Japan,56.73,160,110,185,455,409.03
2,1015908,Gajewiak Kai,T,2000,Great Britain,58.99,160,115,172,447,387.67
3,1015909,Sadykov Karimzhan,T,2001,Kazakhstan,58.63,152,92,187,432,376.82
4,1015910,Hamasuna Mizuki,T,2000,Japan,58.03,142,110,172,425,373.88
5,1015911,Payne-Reichert Graham,T,2000,USA,58.91,170,77,175,422,366.48
6,1015912,Abd Rashid Abdul Aniq Hafiz,T,2000,Malaysia,58.75,115,80,190,385,334.80
1,1015913,Turki Souleiman,T,2000,France,65.98,200,107,232,540,424.11
2,1015914,Gassert Steven,T,2000,USA,65.25,187,142,187,517,410.20
3,1015915,Warszczuk Bartosz,T,2001,Poland,65.61,182,107,215,505,398.47
4,1015916,Murase Shimpei,T,2000,Japan,65.08,167,107,195,470,373.36
5,1015917,Kariya Takahiro,T,2002,Japan,63.75,147,95,190,432,349.62
6,1015918,Herriott Ben,T,2000,Canada,65.09,157,100,165,422,335.58
7,1015919,Stankevich Albert,T,2002,Belarus,65.59,175,92,152,420,331.48
8,1015920,Kim Philip,T,2000,Singapore,63.99,157,90,160,407,328.36
1,1015921,Kasenov Timur,T,2000,Kazakhstan,73.33,212,137,255,605,438.02
2,1015922,Glasgold Evan,T,2000,USA,73.31,205,140,237,582,421.81
3,1015923,Król Dawid,T,2000,Poland,73.68,205,150,227,582,420.29
4,1015924,Shaukatov Daniyar,T,2000,Kazakhstan,73.21,195,130,200,525,380.55
5,1015925,De Grauwe Rik,T,2000,Belgium,70.53,165,125,202,492,366.96
6,1015926,Ishikawa Ikumu,T,2000,Japan,66.72,180,112,197,490,381.35
7,1015927,Robertson Matthew,T,2000,Canada,73.07,170,100,217,487,353.85
1,1015928,Belgrove Ewan,T,2000,Australia,81.51,267,166,242,676,456.18
2,1015929,Shurupkin Artem,T,2000,Kazakhstan,81.84,250,137,260,647,435.87
3,1015930,Schamahorn Carson,T,2001,Canada,81.50,217,137,271,626,422.81
4,1015931,Ang Alexander Wei Rui,T,2000,Singapore,80.48,212,125,272,609,414.55
5,1015932,Pushkarev Danil,T,2000,Russia,81.97,222,145,230,597,401.83
6,1015933,Owen Lloyd,T,2000,Great Britain,82.05,220,117,230,567,381.43
7,1015934,Tomita Shinnosuke,T,2001,Japan,82.70,200,142,222,565,377.95
8,1015935,Mitsuhashi Gai,T,2000,Japan,81.83,210,130,220,560,377.00
9,1015936,Jordan Jeret,T,2000,Canada,81.14,192,130,210,532,360.35
10,1015937,Bartz Michael,T,2001,USA,78.99,185,127,185,497,342.40
1,1015938,Biruk Anton,T,2000,Ukraine,92.82,260,152,270,682,429.13
2,1015939,Lenart Jakub,T,2001,Poland,86.70,232,162,235,630,410.20
3,1015940,Berrian Michael,T,2000,USA,89.84,212,145,265,622,397.76
4,1015941,Rada Karel,T,2001,Czech Republic,84.47,235,137,247,620,409.63
5,1015942,Harber Edward,T,2000,Great Britain,91.84,212,157,250,620,391.84
6,1015943,Stiles Connor,T,2001,Canada,85.95,230,130,252,612,400.72
7,1015944,Papolis Thomas,T,2000,Canada,87.90,220,142,237,600,387.78
8,1015945,Sakharov Kirill,T,2001,Great Britain,88.73,212,152,217,582,374.60
9,1015946,Suzuki Seiya,T,2000,Japan,83.49,190,130,210,530,352.55
1,1015947,Clement Corentin,T,2000,France,104.94,285,175,323,783,468.28
2,1015948,Creach Davis,T,2000,USA,102.43,245,172,242,660,397.95
3,1015949,Orobets Igor,T,2000,Ukraine,103.30,160,125,205,490,294.52
1,1015950,Veach Hunter,T,2002,USA,118.46,240,160,237,637,367.64
2,1015951,Wójcik Karol,T,2001,Poland,110.03,232,150,252,635,373.66
3,1015952,Dzhafaryan Misha,T,2001,Russia,112.30,232,145,210,587,343.62
4,1015953,McCafferty Lee,T,2002,Great Britain,115.22,215,117,212,545,316.51
1,1015954,Smith Derek,T,2000,Canada,124.50,242,160,272,675,384.96
2,1015955,Lucy Ian,T,2000,Great Britain,133.45,207,120,240,567,319.52
