uvrstitev,ID_tekmovalca,ime,razred,letnica_rojstva,drzava,teza,pocep,potisk_s_prsi,mrtvi_dvig,skupaj,tocke
1,1016424,Feraud Nathalie,M2,1967,France,46.95,97,65,120,282,380.23
2,1016425,Murphy Shyami,M2,1966,USA,46.49,102,45,117,265,359.20
3,1016426,Tsuji Noriko,M2,1964,Japan,46.38,95,57,110,262,356.41
4,1016427,Spencer Marnel,M2,1962,Canada,46.04,85,55,110,250,341.22
1,1016428,"Hartwig-Gary Suzanne ""Sioux-z""",M2,1968,USA,51.12,152,80,158,391,493.88
2,1016429,Egan Jayne,M2,1963,Canada,51.34,107,62,130,300,377.69
3,1016430,Anthony Carol,M2,1966,South Africa,51.93,82,45,125,252,315.10
4,1016431,Gaillard Veronique,M2,1966,France,51.06,102,50,95,247,312.90
1,1016432,Ayegun Femmy,M2,1962,Australia,53.11,112,72,160,345,423.10
2,1016433,"Kemper Antoinette ""Tony""",M2,1964,USA,56.39,125,72,137,335,392.61
3,1016434,McPeak Jody,M2,1968,Canada,55.39,115,65,140,320,379.76
4,1016435,Devlin Samantha,M2,1965,Great Britain,55.65,90,55,115,260,307.42
1,1016436,Lutsenko Elena,M2,1963,Russia,62.73,130,95,150,375,404.59
2,1016437,Mele Cathy,M2,1966,USA,61.57,110,72,170,352,385.25
3,1016438,Wilson Kim,M2,1968,USA,62.11,97,72,160,330,358.26
4,1016439,Banks Lynda,M2,1965,Great Britain,62.55,112,62,145,320,345.54
5,1016440,Blondan Daisy,M2,1959,France,62.25,100,75,135,310,335.97
6,1016441,Wharton Kelly,M2,1962,Canada,60.00,102,52,127,282,314.96
7,1016442,Bellan-Miron Sandy,M2,1961,Canada,61.75,95,47,122,265,288.97
1,1016443,Esbjørn Charlotte,M2,1968,Denmark,70.37,140,90,177,407,403.93
2,1016444,Barry Karen,M2,1967,Ireland,70.18,150,90,155,395,392.27
3,1016445,Mineo Joy,M2,1967,Great Britain,68.40,122,72,170,365,369.03
4,1016446,Couto Ana,M2,1966,Brazil,69.58,110,80,170,360,359.64
5,1016447,Romain Livy Laure,M2,1967,France,68.00,120,60,142,322,327.42
6,1016448,Tanzer Marion,M2,1968,South Africa,70.62,97,55,130,282,279.35
1,1016449,Greenidge Felicia,M2,1965,Canada,81.75,147,80,175,402,363.98
2,1016450,Lipsitz Lee,M2,1964,USA,78.51,145,80,170,395,365.30
3,1016451,Twomey Helen,M2,1967,Ireland,77.82,130,77,177,385,357.89
4,1016452,Henderson Julie,M2,1965,Australia,81.67,132,72,155,360,325.72
5,1016453,Ahlsten Marie,M2,1965,Sweden,78.45,132,70,147,350,323.83
6,1016454,Hellem Anne,M2,1961,Norway,83.18,115,60,130,305,273.33
1,1016455,Reitman Judith,M2,1967,Uruguay,94.05,177,105,182,465,394.99
2,1016456,Rempel Bonney,M2,1967,Canada,107.70,165,107,175,447,365.53
3,1016457,Arnarsdóttir Sigþrúður Erla,M2,1965,Iceland,113.34,165,92,177,435,351.55
4,1016458,Blair Libby,M2,1967,Great Britain,117.31,147,77,190,415,333.22
5,1016459,Scobie Hines Susan,M2,1967,USA,89.85,142,77,155,375,324.25
6,1016460,Auclair Véronique,M2,1968,France,98.11,110,70,130,310,259.60
