uvrstitev,ID_tekmovalca,ime,razred,letnica_rojstva,drzava,teza,pocep,potisk_s_prsi,mrtvi_dvig,skupaj,tocke
1,1016276,Morrison Brianand Toni,T,2001,USA,41.65,100,61,110,271,395.97
2,1016277,Ompod Veronica,T,2000,Philippines,43.00,90,50,117,257,368.09
3,1016278,Safina Anastasiya,T,2000,Russia,42.63,75,50,130,255,366.55
1,1016279,Kani Haruka,T,2004,Japan,46.76,115,60,145,320,432.63
2,1016280,Poszwa Klaudia,T,2000,Poland,46.51,102,47,127,277,376.03
1,1016281,Nikitina Elizaveta,T,2001,Russia,51.89,125,70,135,330,412.06
2,1016282,Lipponen Heini,T,2000,Finland,51.44,125,75,125,325,408.55
3,1016283,Malysheva Anastasiya,T,2000,Russia,51.10,117,62,140,320,404.32
4,1016284,Potter Christine,T,2001,USA,51.32,102,60,132,295,371.51
5,1016285,Tsiareshka Nadzeya,T,2001,Belarus,51.77,95,57,125,277,347.13
6,1016286,Hein Celine,T,2000,Germany,50.93,97,52,120,270,342.02
7,1016287,Tagaya Karen,T,2001,Japan,50.21,95,45,122,262,336.15
8,1016288,Fuller Jaime-Lee,T,2003,Great Britain,50.99,90,52,100,242,306.91
1,1016289,Chambers Miranda,T,2000,USA,55.84,137,95,157,390,459.91
2,1016290,Lamminen Fanny,T,2002,Finland,55.94,152,82,142,377,444.54
3,1016291,Nazarova Ekaterina,T,2001,Russia,56.42,127,72,132,332,388.94
4,1016292,Dion Marie-Li,T,2000,Canada,55.06,110,75,135,320,381.54
5,1016293,Poxon Caitlin,T,2000,South Africa,56.87,112,55,120,287,334.21
6,1016294,Hemmi Yui,T,2001,Japan,56.96,92,55,120,267,310.58
7,1016295,Nuriddinova Diana,T,2001,Kazakhstan,55.11,80,47,100,227,271.06
1,1016296,Nomura Yu,T,2000,Japan,62.21,130,77,170,377,409.32
2,1016297,Gardner Emily,T,2000,USA,60.25,142,82,142,367,408.40
3,1016298,Tkachuk Katerina,T,2000,Ukraine,60.22,130,87,130,347,386.33
4,1016299,Guðbrandsdottir Ragna Kristin,T,2000,Iceland,62.97,125,65,130,320,343.79
5,1016300,Kotschwar Viktoria,T,2001,Austria,62.22,107,60,145,312,338.80
1,1016301,Fisher Mariella,T,2000,Great Britain,67.15,157,87,185,430,440.51
2,1016302,Lis Ida,T,2000,Poland,66.21,160,85,177,422,437.27
3,1016303,Zeleznik Nusa,T,2000,Slovenia,71.02,145,82,170,397,391.56
4,1016304,King Julianna,T,2000,USA,70.23,137,72,162,372,369.74
5,1016305,Mackenzie Katia,T,2000,New Zealand,69.59,145,70,147,362,362.10
6,1016306,Matsumoto Aoi,T,2001,Japan,70.19,97,62,127,287,285.48
7,1016307,Baum Momo,T,2000,Japan,64.53,92,52,132,277,292.70
1,1016308,Ellington Danielle,T,2001,Great Britain,82.24,150,82,196,428,386.27
2,1016309,Diaz Emily,T,2001,USA,81.34,147,77,185,410,371.76
3,1016310,Gilliam Morgan,T,2000,USA,80.65,155,75,172,402,366.65
4,1016311,Onu Hana,T,2000,Japan,80.89,120,77,172,370,336.50
5,1016312,McCart Christie,T,2000,Great Britain,78.99,140,70,155,365,336.38
6,1016313,Kanatova Michaela,T,2002,Czech Republic,78.30,140,67,155,362,335.77
1,1016314,Figueroa Isabel,T,2002,USA,103.20,182,85,170,437,361.09
