uvrstitev,ID_tekmovalca,ime,razred,letnica_rojstva,drzava,teza,pocep,potisk_s_prsi,mrtvi_dvig,skupaj,tocke
1,1044478,Resch Catrin,M2,1965,Germany,45.30,110,70,125,305,421.03
2,1044479,Price Kimberly,M2,1962,USA,46.44,105,52,132,290,393.39
1,1044480,Teramura Mika,M2,1962,Japan,51.29,132,87,135,355,447.27
2,1044481,Kelly Linda,M2,1965,USA,51.46,120,70,130,320,402.15
3,1044482,Batii Jazyei,M2,1967,Mongolia,50.78,100,62,110,272,345.96
4,1044483,Bekhtereva Irina,M2,1959,Russia,50.56,95,60,110,265,337.56
1,1044484,Allen Helen,M2,1967,Australia,56.24,120,62,162,345,404.57
2,1044485,Franklin Michelle,M2,1966,Great Britain,55.32,115,72,142,330,392.02
3,1044486,Grouet-Molling Lydie,M2,1960,France,56.14,112,75,130,317,372.84
4,1044487,Verma Seema,M2,1966,India,56.26,102,67,105,275,322.39
1,1044488,Sturm Lara,M2,1968,USA,61.70,165,102,172,440,480.10
2,1044489,Xie Nandi,M2,1963,USA,61.40,132,97,135,365,399.76
3,1044490,Ip Wing-Yuk,M2,1961,Hong Kong,60.65,90,67,120,277,306.81
1,1044491,Nelyubova Valentina,M2,1966,Russia,68.75,180,115,167,462,465.93
2,1044492,Crawford Tina,M2,1965,USA,70.20,142,87,157,387,384.75
3,1044493,Vidziuniene Giedre,M2,1966,Lithuania,69.85,135,67,140,342,341.24
4,1044494,Skogman Seija,M2,1965,Finland,68.90,120,87,110,317,319.36
1,1044495,Styrlund Laura,M2,1964,USA,82.60,165,127,180,472,424.97
2,1044496,Stavheim Gro Berit,M2,1964,Norway,79.50,180,85,170,435,399.43
3,1044497,Steidle Susanne,M2,1964,Germany,80.70,140,92,170,402,366.53
4,1044498,Nakari Susanne,M2,1968,Finland,81.10,120,75,115,310,281.54
1,1044499,Blasbery Jacqueline,M2,1963,Great Britain,88.05,152,120,180,452,394.67
